measurement_name,unit,average_value,min_value,max_value,std_deviation,pattern,top_correlations,interpretation
Height,cm,172.15,140.86,197.51,9.33,Moderate variation,"Arm Length (0.91), Leg Length (0.91)",Determines limb proportions
Hip,cm,102.31,80.68,166.85,9.14,High variation,"Thigh (0.89), Waist (0.88), Chest (0.85)",Lower body size indicator
Chest,cm,101.75,77.08,153.94,10.92,High variation,"Waist (0.93), Hip (0.85), Bicep (0.85)",Core body size indicator
Waist,cm,89.81,64.07,164.3,12.63,Highest variation (100cm range),"Chest (0.93), Hip (0.88)",Most diverse measurement
Leg Length,cm,78.33,62.7,94.49,4.9,Moderate variation,Height (0.91),Skeletal proportion to height
Shoulder to Crotch,cm,64.98,51.37,79.32,4.82,Low variation,Height (moderate),Torso length measurement
Thigh,cm,53.88,37.69,84.22,5.24,Moderate variation,"Hip (0.89), Bicep (0.82), Calf (0.79)",Lower body muscle mass
Arm Length,cm,49.6,39.39,59.43,3.14,Low variation,Height (0.91),Skeletal proportion to height
Calf,cm,37.29,28.27,55.33,3.2,Low variation,Thigh (0.79),Lower leg circumference
Shoulder Breadth,cm,35.82,28.63,44.32,2.7,Lowest variation,Chest (0.72),Skeletal frame width
Bicep,cm,30.4,19.13,55.81,3.83,Most consistent,"Forearm (0.89), Chest (0.85), Thigh (0.82)",Upper body muscle mass
Forearm,cm,26.51,18.88,39.75,2.61,Low variation,Bicep (0.89),Arm muscle proportion
Ankle,cm,24.16,19.24,32.98,1.8,Low variation,"Wrist, Calf",Skeletal frame indicator
Wrist,cm,16.68,13.09,23.98,1.4,Low variation,"Forearm, Ankle",Skeletal frame indicator
